alternatives,female,male,name
"[""RHODRIGO"", ""ROBRIGO"", ""RODRIGUO"", ""RODRIIGO"", ""RODRRIGO"", ""RODRYGO"", ""RRODRIGO"", ""RHODRIGO"", ""ROBRIGO"", ""RODRIGUO"", ""RODRIIGO"", ""RODRRIGO"", ""RODRYGO"", ""RRODRIGO""]",2825,598825,RODRIGO
"[""MARCOZ"", ""MARKOS"", ""MARRCOS"", ""MMARCOS"", ""MARCOZ"", ""MARKOS"", ""MARRCOS"", ""MMARCOS""]",5039,1101126,MARCOS
"[""NICALAS"", ""NICILAS"", ""NICLAS"", ""NICOLAAS"", ""NICOLAZ"", ""NICULAS"", ""NIKHOLAS"", ""NIKLAS"", ""NIKOLAS"", ""NYCOLAS"", ""NYKOLAS"", ""NICALAS"", ""NICILAS"", ""NICLAS"", ""NICOLAAS"", ""NICOLAZ"", ""NICULAS"", ""NIKHOLAS"", ""NIKLAS"", ""NIKOLAS"", ""NYCOLAS"", ""NYKOLAS""]",1530,111059,NICOLAS
"[""MAURYCIO"", ""MAURYCIO""]",931,234847,MAURICIO
"[""REGIZ"", ""REGYS"", ""REJIS"", ""REGIZ"", ""REGYS"", ""REJIS""]",316,20286,REGIS
"[""CALEBE"", ""CALEBER"", ""CALEDE"", ""CILEDE"", ""CLEBE"", ""CLEDE"", ""CLEDER"", ""KALEBE"", ""KALEBER"", ""KALEDE"", ""KLEBE"", ""KLEBER"", ""KLEDER"", ""CALEBE"", ""CALEBER"", ""CALEDE"", ""CILEDE"", ""CLEBE"", ""CLEDE"", ""CLEDER"", ""KALEBE"", ""KALEBER"", ""KALEDE"", ""KLEBE"", ""KLEBER"", ""KLEDER""]",523,102878,CLEBER
"[""VIITOR"", ""VITHOR"", ""VITO"", ""VYTOR"", ""VIITOR"", ""VITHOR"", ""VITO"", ""VYTOR""]",3318,419585,VITOR
"[""AELIS"", ""AILIS"", ""ALEIS"", ""ALIS"", ""ALIZ"", ""ALUIS"", ""ALUIZ"", ""ALYS"", ""ELEIS"", ""ELIEIS"", ""ELIS"", ""ELIZ"", ""ELUIS"", ""ELUIZ"", ""ELYS"", ""ELYZ"", ""EULIS"", ""HALIS"", ""HELIS"", ""HELIZ"", ""HELYS"", ""IALIS"", ""ILIS"", ""ILUIZ"", ""LEIS"", ""LEIZ"", ""LEYS"", ""LIIS"", ""LIIZ"", ""LIS"", ""LIUIS"", ""LIUIZ"", ""LIZ"", ""LUIIS"", ""LUIIZ"", ""LUIZ"", ""LUYS"", ""LUYZ"", ""LYS"", ""LYZ"", ""OELIS"", ""OLIS"", ""UALIS"", ""UELIS"", ""UILIS"", ""ULIS"", ""YALIS"", ""AELIS"", ""AILIS"", ""ALEIS"", ""ALIS"", ""ALIZ"", ""ALUIS"", ""ALUIZ"", ""ALYS"", ""ELEIS"", ""ELIEIS"", ""ELIS"", ""ELIZ"", ""ELUIS"", ""ELUIZ"", ""ELYS"", ""ELYZ"", ""EULIS"", ""HALIS"", ""HELIS"", ""HELIZ"", ""HELYS"", ""IALIS"", ""ILIS"", ""ILUIZ"", ""LEIS"", ""LEIZ"", ""LEYS"", ""LIIS"", ""LIIZ"", ""LIS"", ""LIUIS"", ""LIUIZ"", ""LIZ"", ""LUIIS"", ""LUIIZ"", ""LUIZ"", ""LUYS"", ""LUYZ"", ""LYS"", ""LYZ"", ""OELIS"", ""OLIS"", ""UALIS"", ""UELIS"", ""UILIS"", ""ULIS"", ""YALIS""]",4375,931530,LUIS
"[""ARHTUR"", ""ARTHU"", ""ARTU"", ""ARTUH"", ""ARTUR"", ""HARTHUR"", ""HARTU"", ""HARTUR"", ""ARHTUR"", ""ARTHU"", ""ARTU"", ""ARTUH"", ""ARTUR"", ""HARTHUR"", ""HARTU"", ""HARTUR""]",986,125788,ARTHUR
"[""ALEONARDO"", ""ELEONARDO"", ""LEONNARDO"", ""ALEONARDO"", ""ELEONARDO"", ""LEONNARDO""]",3343,544258,LEONARDO
